NAICS Code,CPV
42369,31710000
423690,31710000
4237,44316400#44115210#44115220
42371,44316400
423710,44316400
42372, 44115210#44115220
423720, 44115210#44115220
42373,42510000
423730,42510000
42374,42513200
423740,42513200
4238,42510000#31000000
42381,43300000#43260000
423810,43300000#43260000
42382,16160000#16000000
423820,16160000#16000000
42383,42000000
423830,42000000
42384,42000000
423840,42000000
42385,42716000#42000000
423850,42716000#42000000
42386,34000000
423860,34000000
4239,37400000#18510000#14521100#14700000
42391,34000000
423910,34000000
42392,37520000#37500000
423920,37520000#37500000
42393,14630000#34640000#03417000
423930,14630000#34640000#03417000
42394,18500000#14521100#14612400
423940,18500000#14521100#14612400
42399,35320000#37310000#03419100
423990,35320000#37310000#03419100
424,22800000#24000000#19000000
4241,22800000
42411,30197620
424110,30197620
42412,30192700#30192000
424120,30192700#30192000
42413,22800000#33710000
424130,22800000#33710000
4242,33100000
42421,33100000
424210,33100000
4243,18100000
42431,33710000#03130000#18100000
424310,33710000#03130000#18100000
42434,18800000
424340,18800000
42435,18100000
424350,18100000
4244,15612500#15250000#15511000
42441,15612500#15250000#15511000
424410,15612500#15250000#15511000
42442,15220000
424420,15220000
42443,15500000
424430,15500000
42444,15112000#15131500
424440,15112000#15131500
42445,15842300
424450,15842300
42446,03311000#15250000
424460,03311000#15250000
42447,15110000#15130000
424470,15110000#15130000
42448,03220000
424480,03220000
42449,15612500#15250000#15511000
424490,15612500#15250000#15511000
4245,03300000
42451,03211900#03221210
424510,03211900#03221210
42452,03322000
424520,03322000
42459,03300000
424590,03300000
4246,24000000
42461,24000000
424610,19520000
42469,24000000
424690,24000000
4247,09130000
42471,09130000
424710,09130000
42472,09130000
424720,09130000
4248,15961000#15930000
42481,15961000#15980000
424810,15961000#15980000
42482,15930000#15910000
424820,15930000#15910000
4249,15800000#15890000
42491,03300000
424910,03300000
42492,22210000#22100000
424920,22210000#22100000
42493,03120000#03450000
424930,03120000#03450000
42494,15992000#15991300
424940,15992000#15991300
42495,44810000#44820000#44800000
424950,44810000#44820000#44800000
42499,15800000#15890000
424990,15800000#15890000
425,66130000
4251,66130000
42512,66130000
425120,66130000
44-45,55900000
441,34100000
4411,34100000
44111,34100000
441110,34100000
44112,34100000
441120,34100000
4412,34100000
44121,34100000
441210,34100000
44122,34410000#34520000#34100000
441222,34520000
441227,34410000#34100000
4413,34640000
44133,34640000
441330,34350000
44134,34350000
441340,44111000#16160000
444,44111000
4441,44111000
44411,39221000
444110,39221000
44412,39191100#44810000
444120,39191100#44810000
44414,44316400
444140,44316400
44418,44111000
444180,44111000
4442,16160000#16311000
44423,30237280
444230,30237280
44424,03120000
444240,03120000
445,15000000
4451,15300000#15500000
44511,15300000#15500000
445110,15300000#15500000
44513,42933000#15300000#15500000#15900000
445131,15300000#15500000#15900000
445132,42933000
4452,15800000
44523,03221200
445230,03221200
44524,15110000
445240,15110000
44525,03311000#15250000
445250,03311000#15250000
44529,15800000
445291,15612500
445292,15842300#03222000
445298,15800000
4453,15961000#15930000#15911200
44532,15961000#15930000#15911200
445320,15961000#15930000#15911200
449,39100000#39140000
4491,39100000#39140000
44911,39100000
449110,39100000
44912,39140000
449121,44112200
449122,44221100
449129,39140000#39100000
4492,31710000
44921,31710000
449210,31710000
455,31710000
4551,15000000
45511,15000000
455110,15000000
4552,39100000#31710000#37000000#39000000
45521,39100000#31710000#37000000#39000000
455211,39100000#31710000#37000000#39000000
455219,31710000#39000000
456,33700000
4561,33700000
45611,33100000#33600000
456110,33100000#33600000
45612,33711400#33710000
456120,33711400#33710000
45613,30216000
456130,30216000
45619,33700000
456191,33617000
456199,33700000
457,09100000
4571,09100000
45711,09100000#09000000
457110,09100000#09000000
45712,09100000#09000000
457120,09100000#09000000
4572,09100000
45721,09100000
457210,09100000
458,18420000#18510000
4581,18420000
45811,18420000
458110,18420000
4582,18800000
45821,18800000
458210,18800000
4583,18510000#19100000
45831,18510000
458310,18510000
45832,18920000#19100000
458320,18920000#19100000
459,37310000#37400000#22815000
4591,37310000#37400000#22815000
45911,37400000
459110,37400000
45912,37520000#37524000
459120,37520000#37524000
45913,39227000
459130,39227000
45914,37310000
459140,37310000
4592,22200000#22800000
45921,22200000#22800000
459210,22200000#22800000
4593,77330000#03121210
45931,77330000#03121210
459310,77330000#03121210
4594,30192000#30192700
45941,30192000#30192700
459410,30192000#30192700
45942,22320000#22300000
459420,22320000#22300000
4595,15000000#39000000
45951,15000000#39000000
459510,15000000#39000000
4599,15000000#15800000
45991,15713000
459910,15713000
45992,37800000
459920,37800000
45993,44211000
459930,44211000
45999,15000000#15800000
459991,15992000#15991300
459999,15000000#15800000
48-49,63122000
481,60400000
4811,60400000
48111,60400000
481111,60400000
481112,60400000
4812,60400000
48121,60400000
481211,60400000
481212,60400000
481219,60400000
482,60200000
4821,60200000
48211,60200000
482111,60200000
482112,60200000
483,60600000
4831,60600000
48311,60600000
483111,60600000
483112,60600000
483113,60600000
483114,60600000
4832,60600000
48321,60600000
483211,60600000
483212,60600000
484,60100000
4841,63521000#60100000
48411,63521000#60100000
484110,63521000#60100000
48412,63521000#60100000
484121,63521000#60100000
484122,63521000#60100000
4842,63521000#60100000
48421,30192000#39220000
484210,30192000#39220000
48422,63521000#60100000
484220,63521000#60100000
48423,63521000#60100000
484230,63521000#60100000
485,60130000
4851,60210000#60220000
48511,60210000#60220000
485111,60100000#60112000
485112,60210000#60220000
485113,60100000#60112000
485119,60210000#60220000
4852,60100000#60112000
48521,60100000#60112000
485210,60100000#60112000
4853,60120000
48531,60120000
485310,60120000
48532,60120000
485320,60120000
4854,60100000
48541,60100000
485410,60100000
4855,60100000
48551,60100000
485510,60100000
4859,60140000#60100000
48599,60140000#60100000
485991,60130000
485999,60140000#60100000
486,60300000
4861,60300000
48611,60300000
486110,60300000
4862,60300000
48621,60300000
486210,60300000
4869,60300000
48691,60300000
486910,60300000
48699,60300000
486990,60300000
487,60100000
4871,60100000
48711,60100000
487110,60100000
4872,60600000
48721,60600000
487210,60600000
4879,60000000#63000000
48799,60000000#63000000
487990,60000000#63000000
488,63700000
4881,63700000
48811,63731000
488111,63732000#34962000
488119,63731000
48819,63730000
488190,63730000
4882,63711000
48821,63711000
488210,63711000
4883,63720000
48831,63721200
488310,63721200
48832,63110000
488320,63110000
48833,63724000
488330,63724000
48839,63720000
488390,63720000
4884,63712000
48841,63727100
488410,63727100
48849,63712000
488490,63712000
4885,63521000
48851,63521000
488510,63521000
4889,63000000
48899,63000000
488991,63100000
488999,63000000
491,64110000
4911,64110000
49111,64110000
491110,64110000
492,64120000
4921,64120000
49211,64120000
492110,64120000
4922,64120000#64121100#64121200
49221,64120000#64121100#64121200
492210,64120000#64121100#64121200
493,63120000
4931,63120000
49311,63120000
493110,63120000
49312,63120000
493120,63120000
49313,63120000
493130,63120000
49319,63120000
493190,63120000
51,48000000#72000000
512,92100000
5121,92100000
51211,92100000
512110,92100000
51212,92100000
512120,92100000
51213,92100000
512131,92100000
512132,92300000
51219,92110000#92100000
