Segment,CPV
23131600,42900000
23131700,42210000# 42200000
23141600,42700000
23141700,42700000
23151500,42994000
23151600,42641200# 42641000
23151700,38600000# 38000000
23151800,33000000
23151900,42800000
23152000,31400000# 42000000
23152100,42000000
23152200,39121200
23152900,42921320
23153000,38112100# 38000000
23153100,42000000
23153200,48000000# 72000000
23153400,38000000
23153500,38000000
23153600,30170000
23153700,42600000
23153800,44113330
23161500,43400000
23161600,43400000
23161700,43400000
23181500,42210000
23181600,42215100
23181700,42210000
23181800,42220000
23191000,42900000
23191100,42900000
23191200,42600000
23201000,42000000
23201100,24000000# 42000000
23201200,42716000
23211000,31711500
23211100,31712000
23221000,42000000
23221100,16650000
23221200,16650000
23231000,42000000# 42900000
23231100,42600000# 42900000# 42000000
23231200,42600000# 42900000# 42000000
23231300,44511500# 42675100# 03410000
23231400,44511500# 42675100# 03410000
23231500,44511500# 42675100# 03410000
23231600,44511500# 42675100# 03410000
23231700,44511500# 42675100# 03410000
23231800,43312200
23231900,43312100
23232000,3410000
23232100,42675100# 44511500
23232200,42141800
23241400,43414000
23241500,42210000
23241600,42600000
23241700,42630000
23241800,42637100
23241900,42637000
23242100,42210000
23242200,42141000
23242300,42620000# 42621000
23242400,42612000
23242500,42637000
23242600,42210000
23242700,42623000
23251500,42633000
23251600,43710000
23251700,42634000
23251800,43400000
23261500,30122000# 42991000
23271400,42662000# 44315100
23271500,42660000# 42661000
23271600,42660000# 42661000
23271700,42660000# 42661000
23271800,42660000# 42661000
23281500,42660000# 42661000
23281600,42940000
23281700,42663000
23281800,42630000
23281900,42710000# 42900000
23291500,42600000
23291600,42637000
23291700,42600000
23291800,42622000
23291900,42620000
23301500,42600000# 42900000
24101500,42414410# 42415000
24101600,42410000
24101700,42417200
24101800,34955000
24101900,42410000
24102000,39131000
24102100,42965100
24102200,42970000
24102300,34100000
24111500,18900000
24111800,44611100# 44612100# 44611000
24112000,39224340
24112100,44616000# 44614000# 44619400
24112200,44618400
24112400,39141300# 18924000
24112500,22993400
24112600,44612000# 44600000
24112700,44143000
24112800,44613300
24112900,44619300
24113000,39512100
24121500,18923100# 18937100
24121800,18937000
24122000,39225710
24131500,39711130
24131600,39711120
24131900,39700000
24141500,35000000
24141600,33683000
24141700,30199760
25101500,34100000
25101600,34100000
25101700,34114110
25101800,34400000# 34410000
25101900,34114000
25102000,35400000
25102100,42415000
25111500,34500000
25111600,34520000
25111700,34500000
25111800,34500000
25111900,34500000
25121500,34611000# 34600000
25121600,34622000# 34600000
25121700,34900000
25131500,34700000
25131600,34700000
25131700,34700000
25131800,34700000
25131900,34700000
25132000,34700000
25151500,34700000
25151700,34712200
25161500,34114000# 34144000
25171500,34224000
25171600,34224000
25171700,34322000
25171900,34324000
25172000,34300000
25172100,34300000
25172200,34300000
25172300,34300000
25172400,34300000
25172500,34350000
25172600,34300000
25172700,38127000# 34300000
25172800,34322000
25172900,31527260# 34300000
25173000,31527260# 34300000
25173100,34933000
25173300,34300000
25173700,34325000
25173800,34300000
25173900,31681400
25174000,34310000# 34300000
25174100,34210000# 34300000
25174200,34327000
25174400,34200000
25174600,34200000
25174700,34432000
25174800,34114000
25174900,34200000
25181600,34139000
25181700,34223300
25191500,34700000
25191600,34700000
25191700,50100000
25201500,34741000
25201600,38100000
25201700,32524000
25201800,34700000
