category,Mapped CPV
surplus,98300000
telecommunications,32522000#64200000
cell phones & devices,32250000
data/voice cabling,32421000
long distance,98300000
services,98300000
supplies and equipment,39300000
trade services,63000000
carpentry,45422000
carpet/ flooring,39531000#45000000
concrete,44114000
electrical,31220000#31600000
glass and glazing,45441000#14820000
heating ventilating and air conditioning (hvac),45331000
insulation,45320000
painting and wallpapering,45442100#39191100
plastering drywall,45410000
plumbing,39715300#44115210
roofing and siding,44112500
tile and marble work all types,45000000
trade services (not otherwise classified),63000000
transit and transportation,60000000
transit capital,60000000
bus,34100000
fleet overhaul,60000000#63000000
major capital,98300000
transit operations,60000000#63000000
equipment & supplies,39300000
fleet mechanical electrical structural,50111000
operations & maintenance,50000000
taxi wheeltrans specialty transport,34000000
travel & entertainment,63500000
entertainment,92300000
restaurants & catering,55000000
travel,63515000
water and sewer,90000000
catch basin cleaning,90910000
cathodic protection,71000000
cctv inspection,92222000
emergency watermain,90000000
flow testing,72000000
hydrant inspections,71630000
hydrant painting,45442100
new or replacement water/sewer lines,45000000
wastewater treatment & services,90000000
water meters,38421100
water treatment chemicals supplies & services,90700000#24000000
watermain swabbing,71000000
well & water related services,76400000
