Description,CPV
Cleaning and janitorial services,98341130#90910000
Refuse disposal and treatment,90510000
Toxic and hazardous waste cleanup,90520000
Environmental management,90710000
Environmental protection,90720000
Pollution tracking and monitoring and rehabilitation,90730000
Pollutants tracking and monitoring and rehabilitation services,90740000
Mail and cargo transport,63100000
Passenger transport,60140000#60150000
Material packing and handling,63120000
Storage,63121100
Transport services,60000000
Transportation repair or maintenance services,50111000
Management advisory services,79400000
Human resources services,79414000
Legal services,79100000
Real estate services,70000000
Marketing and distribution,79342000
Trade policy and services,79300000
Business administration services,79900000
Professional engineering services,71300000
Computer services,72540000#72610000
Economics,79311400
Statistics,79300000
Manufacturing technologies,48323000#72212323
Earth science services,90700000
Information Technology Service Delivery,72222300
Advertising,79341000
Writing and translations,79530000
Reproduction services,92511000
Photographic services,79961000
Graphic design,79822500
Professional artists and performers,92312000
Utilities,65000000
Telecommunications media services,64200000
Information services,79140000
Development finance,66110000
Accounting and bookkeeping services,79211000#79211100
Banking and investment,66120000
Insurance and retirement services,66510000
Credit agencies,66517000
Comprehensive health services,85100000
Disease prevention and control,85110000
Medical practice,85120000
Medical science research and experimentation,85120000
Alternative and holistic medicine,85110000
Food and nutrition services,85300000
Medical Surgical Equipment Maintenance Refurbishment and Repair Services,50421000
Death and dying support services,85100000
Vocational training,80530000
Alternative educational systems,80210000
Educational institutions,80400000
Specialized educational services,80340000
Educational facilities,80100000#80200000#80300000
Restaurants and catering,55520000
Hotels and lodging and meeting facilities,55100000
Travel facilitation,63515000
Performing arts,92500000
Commercial sports,92610000#92622000
Entertainment services,92300000
Personal appearance,98900000
Domestic and personal assistance,98514000
Public order and safety,75242000
Military services and national defense,75221000
Security and personal safety,75241000
Political systems and institutions,98132000
Socio political conditions,98132000
International relations,75100000
Humanitarian aid and relief,85300000
Community and social services,85320000
Public administration and finance services,66150000
Taxation,79221000
Trade policy and regulation,98120000
Work related organizations,98100000#98900000
Religious organizations,98131000
Clubs,92300000
Civic organizations and associations and movements,98133100#98350000
Land parcels,70122000
Thoroughfares,45233140
Livestock,03322000
Birds and fowl,03325000
Live fish,03311000
Shellfish and aquatic invertebrates,03312200
Insects,03325000
Wild animals,03320000
Domestic pet treatments and accessories and equipment,03140000
Livestock feed,15700000
Bird and fowl food,15700000
Fish food,15700000
Dog and cat food,15700000
Rodent food,15700000
Reptile food,15700000
Miscellaneous animal food,15700000
Animal shelters,77000000
Animal containment,77000000
Animal habitats,77000000
Saddlery,18910000
Harness goods,03140000
Vegetable seeds and seedlings,03111700
Cereal seeds,03211000#03111000
Grass and forage seeds and seedlings,03111000
Spice crop seeds and seedlings,03111000
Flower seeds and bulbs and seedlings and cuttings,03111900
Tree and shrub seeds and cuttings,03111000
Residues other than animal feed,03110000
Fibrous crop seeds and seedlings,03111000
Trees and shrubs,03451300#03452000
Floral plants,03121210#03451000
Non flowering plants,03451000
Dried floral products,03121210
Organic fertilizers and plant nutrients,24400000
Chemical fertilizers and plant nutrients,24400000
Herbicides,24453000
Pesticides or pest repellents,24451000
Pest control devices,24451000
Live blue or lavender or purple rose bushes,03100000
Live chocolate or brown rose bushes,03100000
Live cream rose bushes,03100000
Live green or lime rose bushes,03100000
Live light pink rose bushes,03100000
Live multi-colored pink rose bushes,03100000
Live orange rose bushes,03100000
Live peach rose bushes,03100000
Live pink rose bushes,03100000
Live red or burgundy rose bushes,03100000
Live sweetheart rose bushes,03100000
Live white rose bushes,03100000
Live yellow rose bushes,03100000
Live spray rose bushes,03100000
Live anthuriums,03100000
Live alliums,03100000
Live alstroemerias,03100000
Live amaranthuses,03100000
Live amaryllises,03100000
Live anemone,03100000
Live asclepias,03100000
Live asters,03100000
Live berzelia lanuginosas,03100000
Live bouvardias,03100000
Live brodiaeas,03100000
Live callas,03100000
Live carnations,03100000
Live celosias,03100000
Live daffodils,03100000
Live dahlias,03100000
Live delphiniums,03100000
Live dianthuses,03100000
Live eremuruses,03100000
Live ericas,03100000
Live euphorbias,03100000
Live freesias,03100000
Live fritillarias,03100000
Live genistas,03100000
Live gerberas,03100000
Live ginger plants,03100000
Live gladioluses,03100000
Live godetias,03100000
Live guzmanias,03100000
Live gypsophilias,03100000
Live heather,03100000
Live heliconias,03100000
Live hyacinths,03100000
Live hydrangeas,03100000
Live irises,03100000
Live kangaroo paws,03100000
Live larkspurs,03100000
Live leptos,03100000
Live lilacs,03100000
Live lilies,03100000
Live limoniums,03100000
Live lisianthuses,03100000
Live muscari plants or grape hyacinths,03100000
Live narcissus,03100000
Live dendrobium orchids,03100000
Live ornamental peppers,03100000
Live ornithogalums,03100000
Live peonies,03100000
