Description,CPV
Paper claws,37820000
Expandable file folders,22852100
Binder mounting channels,30192000
Classification folder,30197120
Folder kit,30141100
Side rails for hanging folder frame,30192000
Conference folder,22852000#30192000
Accordion file folder,30192100
Rubber bands,44425300
Clasp fasteners,44522100
Paper clips,30197220
Binder or bulldog clips,30197200
Pins or tacks,30197120
Staples,30197110
Hook and loop fastener,44531000
Adhesive mounts,24911200
Hole reinforcements,44316400
Round head fasteners,44531000
Tag fasteners,18450000
Screw posts,44144000
Adhesive corners,24911200
Bag clips,30197000
Book rings,30197200
Prong fasteners,30199000
Self adhesive fasteners,44531000
Binder posts,30192000
Wall or board clips,30199000
Magnetic thumbtack,30141300
Heliographic printers,42991200
Offset printing presses,42991210
Letterpress equipment,42991220
Lithographic equipment,42991200
Photogravure printing machines,42991300
Silk screen printing machines,42991200
Printing presses,42962200
Perforating machines,30123500
Ultraviolet UV rotary printer,30232100
Flexographic printer,30232100
Inkjet printer for commercial printing applications,30232100
Thermal transfer printer for commercial printing applications,30232100
Hot stamp printer,30232100
Pad printer,30232100
Core printer,30232100
Pad printing clich?,38651000
Offset darkroom equipment,30122200
Offset printing consumables,30122100
Offset printing plate processors,22510000
Offset film processors,22510000
Silk screen arc lamps,31517000
Silk screen screens,42991200
Silk screen printing racks,42991200
Silk screen vacuum printing frames,42991200
Silk screen squeegees,42991200
Doctor blade,33100000
Printing assemblers,42991500
Printing guillotines,42991500
Printing collators or decollators,42991500
Printing cutters,42991500
Printing trimmers,42991500
Printing punches,42991500
Printing plates,22510000
Printing awls,42991500
Printing film,30191000
Book creasing machines,42991100
Book cutting machines,42991100
Book punching machines,42991100
Book stitching machines,42991100
Book jogging machines,42991100
Book gathering machines,42991100
Book folding machines,42991100
Thermal book binding machines,42991100
Banding machines,42921310
Platemakers,42991220
Paper drilling machines,42810000
Enlargers,38652200
Drawing or retouching boards,30192600
Intertype composing machines,42991300
Linotype composing machines,42991300
Photocomposition materials,42991300
Monotype composing machines,42991300
Phototypesetting machines,42991220
Free standing lecterns,39154100
Table top lecterns,39154100
Gavels or sounding blocks,44111600
Lighting or power or data components for lecterns,31521000
Pointers,38636100
Projection lamps,38653100
Projection screens or displays,38653400
Slide projectors,38652110
Transparency equipment or supplies,30124530
Liquid crystal display projection panels,38653400
Overhead projectors,30191200
Film projectors,38652100
Multimedia projectors,38652100
Epidiascopes,38652100
Dissolve controls,38652100
Cathode ray tube projector,38652100
Liquid crystal display projector,38652100
Projection lenses,38653400
Video projectors,38652120
Overhead projector or video trolleys,30191200
Presentation light boxes,31523100
Assistive listening devices,32342410
Audio jack boxes,32342410
Listening centers,32342410
Audio mixing consoles,32342420
Public address systems,48952000
Combination audio mixer and amplifier,32343000
Audio equipment connector and stage box,32321200
Media control systems,32323300
Television mounts,32324300
Scan converters,32351000
Line doublers,32351000
Video editors,32351100
Distance learning systems,48190000
Interfaces,30237110
Lighting controls,31211110
Television mount accessories,32324300
Visual presenters,38652100
Audioconferencing systems,32236000
Videoconferencing systems,32232000
Microfiche or microfilm viewers,38654100
Microfiche reader printers,38654110
Microfiche or microfilm viewer components or accessories,38654100
Microfiche reader printer components or accessories,38654210
Still cameras,38651600
Instant print cameras,38651400
Disposable cameras,38651600
Digital cameras,38651600
Cinematographic cameras,38651500
Video conference cameras,38651600
Aerial cameras,38651600
High speed cameras,38651600
Underwater cameras,38651600
Offset cameras,38651600
Photocopier cameras,30125000
Hand held camcorders or video cameras,38651000
Digital camcorders or video cameras,32333200
Document camera,38651300
Camera kits,38651200
Low light camera,38651000
Web cameras,44115500
Inspection camera,35113000
Camera flashes or lighting,38653100
Camera tripods,38651200
Camera lenses or filters,38651100
Camera shutters,38651200
Screen frames,38651200
Camera harnesses,38651200
Camera blocks or holders,38651200
Camera assemblies,38651200
Camera brackets,38651200
Camera cables,38651200
Lens cover,38651100
Camera tables,38651200
Camera enclosures or covers,38651200
Retrofit kits,38651200
Camera rings,38651200
Pan heads,39221000
Camera bags,18931000
Camera lens adapters,38651200
Picture card wallets,18923200
Camera power adapters,38651200
Picture card adapters,31111000
Camera lens cleaners,39831400
Camera controllers,38651200
Film driers,38653300
Film washers,38653300
Film splicers,38653300
Film editors,38653300
Photographic enlargers,38653200
Photo cutters or trimmers,30192000
Photo print dryer,30192000
Photo print washer,32321100
Automated film processor,44176000
Sheet film drum,42962000
Microfilm cameras,38654100
Microfilm duplicators,38654100
Microfilm jacket fillers,38654100
Microfilm processors,38654100
Microfilm camera components or accessories,38654100
Microfilm duplicator components or accessories,38654100
Microfilm jacket filler components or accessories,38654100
Microfilm processor components or accessories,38654100
Microfilm film supplies,38654100
Microfilm sundry components or accessories,38654100
Color film,32354300
Black and white film,32354300
Instant picture film,32354300
X ray film,32354110
Motion picture camera film,32354500
Blank video tapes,32354700
Slide trays or organizers,30193000
Developer solution,24931230
Fixative,24931230
Photo development processing kit,42962000
Photo enhancing and correcting solution,38546000
Developing trays,38653300
Developing tanks,38653300
Developing tongs,38653300
Machine guns,35321300
Police or security shotguns,35310000
Military rifles,35321200
Handguns,35321100
Air rifles or air handguns,35321200
Parts of guns or pistols,35310000
Defense or law enforcement ammunition,35330000
Tank ammunition handling systems,35330000
Aircraft ammunition handling systems,35330000
Gun cases,35000000
Grenades,35331300
Mines,35330000
Mortar bombs,35333100
Chain gun systems,35000000
Gatling gun systems,35000000
Infrared IR coolers,42000000
Infrared IR detectors,42000000
Torpedoes,35332100
Air to air missiles,35620000
Antiaircraft missiles,35620000
Antimissile missiles,35620000
Antiship missiles,35620000
Antitank missiles,35620000
Ballistic missiles,35620000
Cruise missiles,35620000
Surface to air missiles,35620000
Antiballistic missiles,35620000
Surface to surface missiles,35620000
Air to surface missiles,35620000
Training missiles,35620000
Electronic safe or arm devices,35000000
Solid missile boosters,35620000
Missile warheads,35620000
Safety pin pullers,35000000
Jet reaction control assemblies,42000000
Multi stage rockets,35333200
Reusable rockets,35333200
Single stage rockets,35333200
Liquid rockets,35333200
Solid rockets,35333200
Reusable boosters,35000000
Solid boosters,35000000
Multi stage boosters,35000000
Liquid boosters,35000000
Missile launchers,35342000
Rocket launchers,35342000
Barricades,34928300
Riot helmets,35220000#35811200 
Riot shields,35220000
Body armour,35811200#35815100 
Barriers,34928300
Riot batons,35200000#35121300 
Queuing control system,42965000
Handcuffs,35230000
Night sticks,35220000
Alcohol analysers,38434000
Weapon or explosives detectors and supplies,38546000
Narcotic test kits,38544000
Security lanyards,35121300
Bomb protection devices and supplies,15897300#39711200
Fingerprint applicators or brushes,39224200
Fingerprint ink,30192111
Fingerprint ink removers,30192950
Fingerprint or palmprint ink rollers,30192111
Fingerprint latent print kits,30125000
Fingerprint lifters,33951000
Forensic magnifiers,33950000
Fingerprint marking pens,30192126
Fingerprint powders,33951000
Footprint lifters,33951000
Forensic chemical workstations,33951000
Forensic latent print chemicals,33951000
Evidence drying cabinets,33954000
Fingerprint equipment,30233310#35125110 
Blast guard container,34223300
Chemical biological decontamination trailer,42100000
Airport signaling systems,34962200
Railway signaling systems,34632000
Marine signaling systems,34931500
Traffic signals,34923000#34992000
Parking meters,38730000
Snow or ice melter,43313000
Barrier tapes or chains,34928120
Traffic cones or delineators,34630000
Speed stoppers,38571000#34000000
Gate barrier systems,34928120
Traffic beacon,34928430
Traffic chain,34630000
Rope float lines,39541110
Life rings,34515100
Pool alarms,35121700
Life vests or preservers,39525300
Descending life line,44482100
Padlocks,44521210
Cable locks,34913500
Lock sets,44521100
Pushbutton locks,44500000
Keys,44500000#44522200
Safes,44421300
Security bars,44331000
Number locks,44521100
Key cabinets or organizers,44522000
Time locks,44521100
Lockout devices,44521100
Instrument locks,44521100
Locking cam,44521100
Security chains or accessories,44521200
Key chains or key cases,44522000
Door guards,44000000
Keyhole signals,44000000
Electric strike plate,44000000
Lock cylinder accessory,44000000
Electric lock,44521100
Non electric strike plate,44000000
Lock housing,44521100
Mechanical lock system,44521100
Safety horns,35240000
Clock timers,39254100
Alarm systems,35121700
Door chimes,44423100
Sirens,35240000
Buzzers,35121100
Motion detectors,35125300
Convex security mirrors,35125000
Security cameras,35125300
Video identification systems,32323500
Video monitors,32323300
Gas detectors,38431100
Light enhancing cameras or vision devices,38651600
Radar detectors,35121900
Door eyes,44221210
Door bells,44423100
Security or access control systems,35121000#42961100
Safety light curtains,39515100
Surveillance video or audio recorders,32333100#32332300 
Closed circuit television CCTV system,32231000
Protective aprons,35810000#35113400 
Bullet proof vests,35815100#35113400 
Protective coveralls,18114000#35113400 
Protective gloves,18424300#35113400
Protective knee pads,35113400
Protective ponchos,35113450
Safety vests,35113430
Fire retardant apparel,35811100#35113400
Hazardous material protective apparel,35113400
Cleanroom apparel,35113400
Elbow protectors,35113400
Safety sleeves,35113400
Insulated or flotation suits,35113400
Heat resistant clothing,35113400
Leg protectors,35113000
Safety hoods,35113000
Protective shirts,35113000
Protective pants,35113000
Protective frock,35113000
Insulated clothing for cold environments,18400000
Protective finger cots,35113000
Reflective apparel or accessories,35113000
Lab coats,18114000#35113450 
Protective coats,35113450
Protective wristbands,35113000
Protective socks or hosiery,35113000
Anti cut gloves,35113000#18424000
Insulated gloves,35113000#18424000
Thermal gloves,35113000#18424000
Anti vibratory gloves,35113000#18424000
Welder gloves,18424000
Chemical resistant gloves,18221000
Protective mittens,35113000#18424400
Waterproof jacket or raincoat,39711360
Waterproof trousers or pants,18221000
Waterproof suit,18221000
Waterproof cap,18221000
Waterproof cap cover,18221000
Welder bib,18400000
Neck gaitor,18400000
Protective scarf,18400000
Protective mesh jacket,18223200
Mining headlamp,39221000
Fire retardant footwear,35811100#18831000 
Hazardous material protective footwear,18831000#35113400
Cleanroom footwear,18831000#35113400
Safety boots,18831000#35113400
Safety shoes,18831000#35113400
Footwear covers,18841000
Protective clogs,18800000
Protective sandals,18800000
Protective insole,18800000
Hard hats,18444100#35113400
Facial shields,35113400
Welding masks,42662000
Safety helmets,18444110#35113400
Motorcycle helmets,18444110
Helmet parts or accessories,18444110
Facial shields parts or accessories,33000000#35000000
Protective hair net,33000000
Face protection kit,33000000
Protective hood,18443330#33000000
Welders helmet,18444110
Eyewear holders or cases,33735000
Safety glasses,39299200
Eye shields,33000000
Goggles,33735000
Video display filters,30231300
Lens cleaner,33730000
Goggle protective covers,33735100
Eye shield garters,33730000
Eyewashers or eye wash stations,33730000
Protective lens,33730000
Ear plugs,35113300
Ear muffs,35113300
Earmuff replacement parts or accessories,32342100
Ear plug dispenser,42968000
Masks or accessories,33000000
Respirators,35814000
Gas masks,35814000
Respiration air supplying self contained breathing apparatus or accessories,35111100
Mask or respirators filters or accessories,33000000
Protective films,44176000
Powered air purifying respirator system PAPRs or accessories,31157000
Antistatic wrist straps,35113480
Heel grounding straps,18843000
Grounding hardware,44110000
Anti static floor mats,39532000
Anti static worktable mats,39532000
Antistatic belts,18425000
Antistatic maintenance kits,39532000
Antistatic toe straps,18000000
Back support belts,33000000#18425000
Elbow supports,33000000
Back support rests,33000000
Wrist braces,33000000
Foot rests,33000000
Wrist rests,33000000
Ankle supports,33000000
Shoe insoles,33000000
Knee supports,33000000
Thigh protector or brace,33000000
Lumbar protector or back brace,33000000
Shoulder protector or support,33000000
Cervical pillow,33000000#39516120
Lifelines or lifeline equipment,35112000#39525300 
Fall protection lanyard,35810000#35112000
Safety harness winders,35113000
Anchorage connector,34913800#35113000
Self retracting lanyard,35113000
Safety harnesses or belts,35113400
Evacuation harnesses,35113000#44481100
Pulling grips,35113000
Safety rope ladders and wire rope ladders,44481100#31216000
Ascender,35113000
Belay device,35113000
Descender,35113000
Swivel carabiner,35113000
Safety sling,39541220
Decontamination shower,42924720
Safety wash units,35112200
Clean booth,44000000
Clean locker,44421720
Repellents for canine attacks,35250000
Smoke detectors,38431200
Heat detectors,38431200
Fire resistant coatings or putties or sealants,24951220#44831300#39812500 
Flame detectors,38432000
Fire alarm systems,31625200
Flame arrestor,42971000
Passive firestop system,35111000
Belt monitoring system,38900000
Fire extinguishers,35111300
Fire sprinkler systems,35111000
Fire hoses or nozzles,44482100
Fire blankets,39525400
Fire suppression hand tools,35111500
Fire suppression foam or similar compounds,35111500
Fire breathing apparatus,35111100
Fire suppression system,35111500
Fire escape equipment,03221000
Fire sprinkler heads,90919000
Fire hose cart,42122130
Backpack water pump,33741300
Activated carbon equipment,42912000
Ammonia removal equipment,42912000
Carbon filtration equipment,42912000
Bacterial removal equipment,42912000
Chlorine handling equipment,42000000
Corrosion control equipment,42912000
Grit chambers,42912000
Desalination equipment,42912340
Fluoridation equipment,42000000
Iron removal equipment,42912000
Ion exchange equipment,42000000
Mixers or agitators,42996400
Oxygen generators,42980000
Water purification equipment,42912330
Turbidimeters,38000000
Ultraviolet disinfection equipment,42912000
Water conditioners,42000000
Water softening accessories,39137000
Ultrafiltration equipment,42912000
Packaged water treatment systems,42912000
Collection tanks,42912000
Sludge or sewage composting equipment,42912000
Dewatering equipment,42912000
Sludge pelletizers,42000000
Sludge shredders,42000000
Water treatment dryers,42912000
Incinerators,42320000
Odor control equipment,42924790
Septic tanks,44611420
Settling tanks,44611420
Lift stations,42000000
Sewage distributors,44131000
Sludge disposal equipment,42996900
Sludge collectors,42996900
Sludge conditioning equipment,42996900
Sludge or sewage digesters,42996900
Sludge or sewage removal equipment,42000000
Chemical feeder,42000000
Ozone water treatment equipment,42000000
Air flotation equipment,42000000
Surface aerator,71000000
Air diffuser for sewage treatment,42000000
Algaecides,24965000
Antiscalants,24000000
Descalers,24000000
Boiler feed chemicals,24000000
Bacterial removal chemicals,24965000
Corrosion control chemicals,24963000
Odor control chemicals,39000000#24000000
Flocculents,24000000
Microbiocides,24965000
Water softening compounds,24000000
Demulsifiers,24962000
Polyelectrolytes,24000000
Buffer solutions,80500000
Laundry type combined washing or drying machines,42716000
Laundry type washing machines,42716000
Clothes dryers,42716200
Laundry equipment stands,39291000
Ironing machines or presses,42718100
Folding machines,30123400
Steam pressing machines,42000000
Dry cleaning machines,42716130
Janitor carts,42000000#39000000
Janitor cart accessories,42000000#39000000
Vacuum cleaners,39713430
Floor polishers,39713420
Wet or dry combination vacuum cleaners,39713430
Floor scrubbers,39831300
Carpet sweepers,39831300
Vacuum cleaner supplies or accessories,39713431
Floor machine pads,44112200
Carpet cleaning equipment,39531000
Floor washing machine,39713410
Floor scrapers,39831300
Floor sweepers,39831300
Floor polisher accessories,39713420
Trash bags,19640000
Waste containers or rigid liners,44613800
Smoking urns or accessories,39830000
Waste container lids,44618340
Urn sand bags,18937100
Ash trays,39221160
Motion sickness bags,19640000
Hygienic bags,19640000
Hazardous waste container,15111100
Cleaning dusters,39830000
Lint removers,42710000
Squeegees or washers,44532200
Cleaning pails or buckets,39800000
Pressure or steam cleaners,30191000
Mop wringer,39800000
Drain or toilet plunger,39830000
Drain or pipe cleaning equipment,39831240
Degreasing pans,39221000
Cleaning rag dispenser,42968200
Duct cleaning machines,42997100
Cleaning scrapers,42996300
Scraper replacement blades,42996300
Dust separator,39221000
Squeege or washer holsters,18925200
Squeege or washer accessories,18925200
Pressure or steam cleaner accessories,42924740
Rags,39542000
Cleaning cloths or wipes,39525800
Chamois or wash leathers,19110000
Dust brushes or pans,39224200
Scouring pads,39800000
Sponges,39224320
Brooms,39224100
Cleaning brushes,39224200
Toilet brushes,39224100
Broom or mop handles,39224300
Floor finish applicator,39224300
Trash picker,44616200
Replacement rubbers,19510000
Mop or broom holder,39224300
Cleaning equipment clamps,39224000
Broom heads,39224100
Cleaning pad holders,39830000
Dust mops,39224100
Wet mops,39224100
Mop heads,39830000
Paper towel dispensers,39514400
Sanitary goods dispensers,42968200
Sanitary waste receptacles,42968200
Institutional soap or lotion dispensers,42968200
Urinal or toilet accessories,39000000
Air freshener dispensers,39811110
Institutional hand dryers,39713210
Facial tissue dispensers,39000000
Toilet tissue dispensers,39000000
Cleaner dispenser,39000000
Floor cleaners,39713410
Floor finishes or polishes,39713410
Household disinfectants,24455000
Ammonia cleaners,39800000
General purpose cleaners,38900000
Furniture polish or waxes,39713410#39713420
Bleaches,39800000
Dry germicidal,38900000
Shoe cleaning or polishing products,39812200
Dishwashing products,39832000
Laundry products,39291000
Air freshener,39811100
Screen cleaner,39831400
Metal cleaners or polishes,39000000
Drain cleaner,39800000
Deodorizers,39811300
Household or automotive protectants,39800000
Air sanitizer,39811200
Caustic cleaners,39822000
Petroleum derivative cleaners,24322300#39800000
Degreasing compounds,39831220
Carbon removing compounds,24000000
Deicers or defrosters,39800000#39831300
Glass or window cleaners,39830000
Contact surface cleaners,39800000
Carpet or upholstery cleaners,39800000
Stain cleaners or removers,39800000
Automotive cleaners,39831500
Toilet cleaners,39831600
Furniture cleaners,39800000
Muriatic acid,39800000
Anti dust products,39833000
Food grade sanitizers,39800000
Jewelry cleaning solutions,39834000
Absorbent mats,39532000
Granular absorbent,14212000
Plugging compound,30191000
Absorbent socks,39000000
Spill kits,39000000
Absorbent pans,39000000
Absorbent booms,39000000
Absorbent pillows,39000000
Sorbent pads or rolls,39000000
Super absorbent polymer,24000000
Industrial cleaning kits,42999000
General purpose cleaning kits,42999000
Commercial use bain maries,39221000
Commercial use barbeque ovens,39221000
Commercial use broilers,39221000
Commercial use charcoal grills,39221000
Commercial use coffee or iced tea makers,39221000
Commercial use coffee warmers,39221000
Commercial use convection ovens,39221000
Commercial use conveyer toasters,39221000
Commercial use deep fryers,39221000
Commercial use food warmers,39221000
Commercial use griddles,39221000
Commercial use grills,39221000
Commercial use heat lamps,39221000
Commercial use high pressure steamers,39221000
Commercial use hot dog grills,39221000
Commercial use microwave ovens,39221000
Commercial use ovens,39221000
Commercial use pasta cookers,39221000
Commercial use pizza ovens,39221000
Commercial use popcorn machines,39221000
Commercial use ranges,39221000
Commercial use rotisseries,39221000
Commercial use smokers or smoke ovens,39221000
Commercial use steamers,39221000
Commercial use toasters,39221000
Commercial use waffle irons,39221000
Barbecues,39221000
Commercial use crepe machines,39221000
Pressure cookers or pressure fryers,39221000
Commercial use rice cookers,39221000
Commercial salmon poachers or kettles,39221000
Commercial use cotton candy machines or accessories,42215000
Commercial use combination oven,39711440
Commercial use boiling table,42214110
Commercial use salamander grill,39711360
Commercial use pastry oven,39711360
Commercial use conveyor oven,42214110
Commercial use double contact grill,39710000
Commercial use oil fat filtration unit,39715200
Commercial use wok heating unit,39715100
Commercial use chip and french fry storage and scuttle,39715200
Commercial use jacketed tilting kettle,39715200
Commercial use jacketed boiling pan,39715200
Commercial use direct heat boiling pan,39711360
Commercial use oven stand,79132000#75131000
Commercial use blenders,39221000
Commercial use electric can openers,39221000
Commercial use food choppers or cubers or dicers,39221000
Commercial use coffee grinders,39221000
Commercial use food grinders,39221000
Commercial use graters,39221000
Commercial use juicers,39221000
Commercial use mixers,39221000
Commercial use pasta machines,39221000
Commercial use peelers,39221000
Commercial use scales,39221000
Commercial use food processors,39221000
Commercial use dough machines,39221000
Commercial use icing sets or bags,39221000
Commercial use dishwashers,39713100
Commercial use food slicers,39312100
Commercial use plastic shovels,19521000
Commercial use dishwashing machine parts,39172000
Carbonated beverage dispenser,39221000
Non carbonated beverage dispenser,39221000
Milk dispensers,39221000
Syrup pumps,39221000
Cappuccino or espresso machines,39221000
Milkshake machines,39221000
Soft serve machines,39221000
Slush machines,39221000
Ice dispensers,39221000
Drinking fountains or bubblers,44163000
Bottled water dispensers or accessories,42968100
Cup dispenser,39221000
Cocktail shakers or accessories,38436000
Hot water dispenser,42968100
Ice shaver machines or accessories,42215200
Commercial use cutlery,39221000
Commercial use molds,39221000
Commercial use scoops,39221000
Commercial use measuring cups,39221000
Commercial use mixing bowls,39221000
Commercial use cake or pie pans,39221000
Commercial use pizza pans,39221000
Commercial use sauce or saute pans,39221000
Commercial use stock or sauce pots,39221000
Commercial use pot or pan covers,39221000
Commercial use rolling pins,39221000
Commercial use strainers,39221000
Commercial use whisks,39221000
Commercial use woks,39221000
Commercial use ladles,39221000
Commercial use cutlery pouch,18410000
Cake decorating equipment or moulds,44812400
Tableware disinfector,39143210
Hand sterilizer,15511700
Commercial kitchen hood,39221000
Food service dinnerware,39221000
Food service flatware,39221000
Food service glasses,39221000
Food service stemware,39221000
Food service cups or mugs,39221000
Food service serving baskets,39221000
Food service pitchers,39221000
Food service chafers,39221000
Food service coffee or tea pots,39221000
Food service soup crocks,39221000
Food service ice buckets or wine coolers,39221000
Food service condiment dispensers,39221000
Food service punch bowls,39221000
Food service wine carafes,39221000
Food service trays,39221000
Food service napkin dispensers,39514400
Food service fondue pots,39221000
Food service table covering rolls,55521200
Food service glasses or cups or mugs or container lids,39221120
Straw dispensers,32344280
Restaurant chairs,39130000
Booths,39130000
Salad bars,39130000
Tabletops,39130000
Bar stools,39130000
Permanent bars,39130000
Portable bars,39130000
Condiment counters,03222321
Display cases,39171000
Heated display cases,39171000
Refrigerated display cases,39171000
Ice cream display cases,39171000
Glass chilling equipment,42500000
Cool containers,44613200
Catering gloves or glove dispensers,18424300
Aluminum food wrapping foil,64224000
Plastic food wrap,39000000
Machines dispensing single servings with cups,42000000
Machines dispensing bulk quantities,42000000
Bottle or can vending machines,42933000
Gumball candy or childrens novelties machines,42933000
Snack or small package goods display machines,42933000
A la carte foods vending machines,42933000
Frozen confections machines,42215100
Personal accommodation item dispensers,39000000
Cigarette machines,42000000
Drug dispensers,33000000
French fry vending machines,42933000
Popcorn vending machines,42933000
Ticket dispensing machines,42000000
Insurance policy vending machines,42933000
Stamp machines,42960000
Automatic teller machines ATMs,30000000
Bill to coin changers,30000000
Foreign currency exchange machines,30000000
Electronic funds transfer point of sale equipment,30000000
Automatic teller machine accessories,30000000
Poker or slot machines,37000000
Roulette wheels,37000000
Card tables,37400000
Table gambling management systems,37000000
Networked wagering games,37000000
Antiques,92521000
Souvenirs,18512200
Mint coin collections,18512100
Stamp collections,22840000
Antique rugs,39533000
Diggings,90500000
Comic book collections,22800000
Antique musical instruments,37300000
Ornaments or decorations,39298900
Charms,39000000
Holograms,22458100
Glass crystals,14820000
Medals,18512200
Trophies,39298700
Plaques,22000000
Certificates,22400000
Photo award,18530000
Achievement certificate,22400000
Crowns,18530000
Memorial tablet,22400000
Sleeping pads,37414100
Tents,39522530
Sleeping bags,39522540
Ice chests,37414200
Tent repair kits,39522530
Pneumatic mattresses,39522510
Mosquito nets,39525500
Camping or outdoor stoves,39221000
Drink coolers,37414700
Camping chairs or stools,39130000
Camping tables,39130000
Camping cots,39130000
Fishing rods,37413110
Fishing line,37413120
Fishing reels,37413130
Fishing lures,37413140
Fishing bait,37413150
Fishing weights or sinkers,37413160
Animal calls,37413210
Sporting decoys,37413220
Sporting traps,37413230
Sporting shotguns,37400000
Sporting rifles,37400000
Sporting ammunition,37400000
Gun barrel,37413240
Bouyancy compensators,37412000
Scuba tanks,37412000
Scuba regulators,37412000
Diving instruments or accessories,37412000
Masks or fins or snorkels,33157110
Wetsuits,37412260
Drysuits,37412270
Wakeboards or kneeboards or boogieboards,37412310
Water skis or accessories,37412100
Windsurfing equipment,37412320
Surfboards,37412330
Swim goggles or swim fins,37412340
Parasailing equipment,37412350
Ski boots,37411000
Skis,37411000
Ski poles,37411130
Bindings,37411140
Snowboards,37411150
Hockey pucks,37411210
Ice skates,37411220
Hockey sticks,37411230
Football blocking sleds,37410000
Baseball gloves,37451150
Baseballs,37410000
Footballs,37410000
Soccer balls,37410000
Baseball bats,37410000
Baseball bases,37451120
Pitching machines,37451600
Softballs,37410000
Football tackling dummies,37451330
Lacrosse sticks,37451500
Lacrosse balls,37451400
Field hockey sticks,37451220
Field hockey balls,37451210
Team handball balls,37451920
Team handball school sets,37451920
Baseball or softball protective gear,37451160
Baseball batting aids,37451140
Baseball backstops or fences,37451110
Softball bats,37451810
Softball gloves,37451820
Football kicking tees,37451320
Flag football gear,37451340
Soccer field marking equipment,37451710
Soccer protective equipment,37451720
Soccer training aids,37451730
Racquetball rackets,37410000
Badminton rackets,37410000
Basketballs,37410000
Tennis balls,37410000
Racquet balls,37452410
Squash balls,37452610
Tennis racquets,37410000
Volleyballs,37410000
Badminton birdies or shuttlecocks,37452110
Squash racquets,37452620
Tennis training aids,37452740
Tennis court equipment,37452720
Volleyball storage for balls or nets,37452920
Volleyball gymnasium standards,37452910
Basketball complete game systems,37452210
Floor hockey protective equipment,37452300
Tether poles,37452820
Tether balls,37452810
Racquet strings,37452430
Racquet grips,37452420
Javelins,37453100
Jumping bars,37410000
Discus,37453300
Shotputs,37453400
Vaulting poles,37453500
Hurdles,37453600
Batons,37453700
Gymnastic bars or beams,37420000
Gymnastic ropes or rings or climbing accessories,37423000
Gymnastic vaulting equipment,37420000
Gymnastic trampolines,37425000
Balance equipment,37426000
Boxing rings,37420000
Punching bags,37432000
Boxing gloves,37433000
Billiard tables,37420000
Pool cues,37461300
Shuffleboard,37461400
Pinball games,37500000
Billiard balls,37533100
Air hockey tables or accessories,37461100
Tennis tables,37420000
Table tennis paddles,37461520
Table tennis balls,37461510
Foosball tables,37461220
Foosballs,37461200
Foosball replacement players,37461210
Billiard cue tips,37533300
Billiard chalk,37533200
Billiard racks,37533400
Archery targets,37462180
Archery bows,37462150
Archery arrows,37462120
Darts,37462200
Dart boards,37462210
Trapshooting equipment,37462400
Throwing targets,37462300
Archery bow strings,37462140
Archery gloves,37462160
Archery arm guards,37462110
Archery target stands,37462170
Archery backstops,37462130
Gukgung,37400000
Treadmills,37420000
Stair climbers,37441200
Stationary bicycles,37420000
Rowing machines,37420000
Jump ropes,37420000
Exercise trampolines,37441600
Exercise balls,37441700
Step aerobic equipment,37441800
Cross trainers,37441900
Inversion machine,33000000
Wall bars,37420000
Body twister,37442300
Dumbbells,37420000
Barbells,37442200
Lower body resistance machines,37442310
Weight benches or racks,37442400
Upper body resistance machines,37442320
Fitness weights,37442500
Pilates machines,37442600
Grip strengthener,37442700
Resistance bands,37442810
Resistance tubes,37442820
Multi gyms,37442900
Golf bags,37471100
Golf balls,37471200
Golf clubs,37471300
Golf tees,37471400
Golf club head covers,37471500
Golf gloves,37471600
Divot fixers,37471700
Golfscopes,37471800
Golf putting partner,37470000
Bowling equipment,37472000
Bowling supplies,37472000
Bowling accessories,37472000
Parachute equipment,39523000
Hula hoops or hoop equipment,39162000
Orienteering equipment,39162000
Team identification materials or markers,39162000
Lanyards,22455000
Physical education equipment storage,39162000
Physical education assessment tools,39162000
Sport scoreboards,37420000
Sport goals,37420000
Sport safety equipment other than headgear,37400000
Sport safety headgear,18443300
Sport nets or netting,37400000
Sport mats or padding,37400000
Basketball backboards,37452210
Basketball hoop,37452210
Roller skates or roller blades,37411220
Sport caps,18443340
Sports equipment bags,37400000
Skateboard,37400000
Player bench,37440000
Judging chair or stand,37000000
Playground swings,37535210
Playground climbing apparatus,37535220
Playground merry go rounds,37535230
Playground slides,37535240
Playground see saws,37535250
Playground tunnels,37535260
Playground sandboxes,37535270
Playground bleachers,37535280
Wall climbing equipment,37535291
Rope climbing equipment,37535292
Pergoal,37400000
Croquet sets,37400000
Lawn bowling equipment,37472000
Horseshoe equipment,37000000
Lawn darts,37462200
Diving boards,37412240
Pool slides,37461300
Spa blower,42122460
Water test kit or solutions,43324100
Automatic pool cleaner,43324100
Solar blanket,09330000
Pool or spa heater,39720000
Ozone generator,42981000
Solar blanket reels,09330000
Spa pillow,39516120
Spa cover,98332000
Pool or spa or whirlpool chemical,24000000
Sauna heater,39715100
Whole nuts or seeds,03111000
Shelled nuts or seeds,03111000
"Beef, minimally processed without additions ",15111100
"Pork, minimally processed without additions ",15111100
"Chicken, minimally processed without additions",15112130
"Beef, minimally processed with additions ",15111100
"Veal, minimally processed without additions ",15111200
"Veal, minimally processed with additions",15111200
"Pork, minimally processed with additions",15113000
"Chicken, minimally processed with additions",15112130
"Turkey, minimally processed without additions",15112120
